trace,cache_size,assoc,block_size,reads,writes,read_miss,write_miss,replacements,read_miss_rate,write_miss_rate,total_miss_rate
trace files/047.tomcatv.din,16384,2,32,253723,130733,263,17074,16825,0.1037,13.0602,4.5095
trace files/047.tomcatv.din,16384,2,64,253723,130733,232,8924,8900,0.0914,6.8261,2.3815
trace files/047.tomcatv.din,16384,2,128,253723,130733,213,4852,4937,0.0839,3.7114,1.3174
trace files/047.tomcatv.din,16384,4,16,253723,130733,266,33116,32358,0.1048,25.3310,8.6829
trace files/047.tomcatv.din,16384,4,32,253723,130733,199,16759,16446,0.0784,12.8193,4.4109
trace files/047.tomcatv.din,16384,4,64,253723,130733,168,8576,8488,0.0662,6.5599,2.2744
trace files/047.tomcatv.din,16384,4,128,253723,130733,149,4490,4511,0.0587,3.4345,1.2066
trace files/047.tomcatv.din,16384,8,16,253723,130733,266,33117,32359,0.1048,25.3318,8.6832
trace files/047.tomcatv.din,16384,8,32,253723,130733,199,16759,16446,0.0784,12.8193,4.4109
trace files/047.tomcatv.din,16384,8,64,253723,130733,168,8608,8520,0.0662,6.5844,2.2827
trace files/047.tomcatv.din,16384,8,128,253723,130733,149,4534,4555,0.0587,3.4681,1.2181
trace files/047.tomcatv.din,32768,1,16,253723,130733,2706,33514,34172,1.0665,25.6355,9.4211
trace files/047.tomcatv.din,32768,1,32,253723,130733,1752,17206,17934,0.6905,13.1612,4.9311
trace files/047.tomcatv.din,32768,1,64,253723,130733,1281,9040,9809,0.5049,6.9149,2.6846
trace files/047.tomcatv.din,32768,1,128,253723,130733,1296,4984,6024,0.5108,3.8124,1.6335
trace files/047.tomcatv.din,32768,2,16,253723,130733,257,33109,31318,0.1013,25.3257,8.6788
trace files/047.tomcatv.din,32768,2,32,253723,130733,193,16751,15920,0.0761,12.8131,4.4073
trace files/047.tomcatv.din,32768,2,64,253723,130733,166,8571,8225,0.0654,6.5561,2.2726
trace files/047.tomcatv.din,32768,2,128,253723,130733,149,4485,4378,0.0587,3.4307,1.2053
trace files/047.tomcatv.din,32768,4,16,253723,130733,253,33105,31310,0.0997,25.3226,8.6767
trace files/047.tomcatv.din,32768,4,32,253723,130733,192,16752,15920,0.0757,12.8139,4.4073
trace files/047.tomcatv.din,32768,4,64,253723,130733,168,8573,8229,0.0662,6.5576,2.2736
trace files/047.tomcatv.din,32768,4,128,253723,130733,149,4484,4377,0.0587,3.4299,1.2051
trace files/047.tomcatv.din,32768,8,16,253723,130733,254,33105,31311,0.1001,25.3226,8.6769
trace files/047.tomcatv.din,32768,8,32,253723,130733,191,16752,15919,0.0753,12.8139,4.4070
trace files/047.tomcatv.din,32768,8,64,253723,130733,167,8574,8229,0.0658,6.5584,2.2736
trace files/047.tomcatv.din,32768,8,128,253723,130733,149,4484,4377,0.0587,3.4299,1.2051
trace files/047.tomcatv.din,65536,1,16,253723,130733,1546,33434,30884,0.6093,25.5743,9.0986
trace files/047.tomcatv.din,65536,1,32,253723,130733,1064,17106,16122,0.4194,13.0847,4.7262
trace files/047.tomcatv.din,65536,1,64,253723,130733,833,8934,8743,0.3283,6.8338,2.5405
trace files/047.tomcatv.din,65536,1,128,253723,130733,818,4847,5153,0.3224,3.7076,1.4735
trace files/047.tomcatv.din,65536,2,16,253723,130733,241,33093,29238,0.0950,25.3134,8.6704
trace files/047.tomcatv.din,65536,2,32,253723,130733,181,16739,14872,0.0713,12.8040,4.4010
trace files/047.tomcatv.din,65536,2,64,253723,130733,153,8558,7687,0.0603,6.5462,2.2658
trace files/047.tomcatv.din,65536,2,128,253723,130733,139,4474,4101,0.0548,3.4222,1.1999
trace files/047.tomcatv.din,65536,4,16,253723,130733,237,33089,29230,0.0934,25.3104,8.6684
trace files/047.tomcatv.din,65536,4,32,253723,130733,177,16735,14864,0.0698,12.8009,4.3989
trace files/047.tomcatv.din,65536,4,64,253723,130733,151,8558,7685,0.0595,6.5462,2.2653
trace files/047.tomcatv.din,65536,4,128,253723,130733,145,4479,4112,0.0571,3.4261,1.2027
trace files/047.tomcatv.din,65536,8,16,253723,130733,237,33089,29230,0.0934,25.3104,8.6684
trace files/047.tomcatv.din,65536,8,32,253723,130733,179,16736,14867,0.0705,12.8017,4.3997
trace files/047.tomcatv.din,65536,8,64,253723,130733,152,8559,7687,0.0599,6.5469,2.2658
trace files/047.tomcatv.din,65536,8,128,253723,130733,149,4483,4120,0.0587,3.4291,1.2048
trace files/078.swm256.din,8192,1,16,192459,9894,255,2186,1929,0.1325,22.0942,1.2063
trace files/078.swm256.din,8192,1,32,192459,9894,309,1214,1267,0.1606,12.2701,0.7526
trace files/078.swm256.din,8192,1,64,192459,9894,329,706,907,0.1709,7.1356,0.5115
trace files/078.swm256.din,8192,1,128,192459,9894,506,645,1087,0.2629,6.5191,0.5688
