/home/rin/Local/Github/XJTU-Labs/Machine-Learning/lab-transformer;source .venv/bin/activate;python transformerQA2.py --mode train 
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
  Batch 9900 | Loss: 1.2640
  Batch 10000 | Loss: 1.2612
  Batch 10100 | Loss: 1.2574
  Batch 10200 | Loss: 1.2541
  Batch 10300 | Loss: 1.2507
  Batch 10400 | Loss: 1.2473
  Batch 10500 | Loss: 1.2437
  Batch 10600 | Loss: 1.2410
  Batch 10700 | Loss: 1.2377
  Batch 10800 | Loss: 1.2346
Epoch 2 | train_loss=1.2329 | dev_loss=0.8976
  Batch 0 | Loss: 0.2789
  Batch 100 | Loss: 0.7624
  Batch 200 | Loss: 0.7630
  Batch 300 | Loss: 0.7864
  Batch 400 | Loss: 0.7788
  Batch 500 | Loss: 0.7738
  Batch 600 | Loss: 0.7764
  Batch 700 | Loss: 0.7767
  Batch 800 | Loss: 0.7749
  Batch 900 | Loss: 0.7773
  Batch 1000 | Loss: 0.7778
  Batch 1100 | Loss: 0.7738
  Batch 1200 | Loss: 0.7721
  Batch 1300 | Loss: 0.7723
  Batch 1400 | Loss: 0.7677
  Batch 1500 | Loss: 0.7685
  Batch 1600 | Loss: 0.7703
  Batch 1700 | Loss: 0.7693
  Batch 1800 | Loss: 0.7673
  Batch 1900 | Loss: 0.7647
  Batch 2000 | Loss: 0.7614
  Batch 2100 | Loss: 0.7587
  Batch 2200 | Loss: 0.7569
  Batch 2300 | Loss: 0.7550
  Batch 2400 | Loss: 0.7525
  Batch 2500 | Loss: 0.7507
  Batch 2600 | Loss: 0.7493
  Batch 2700 | Loss: 0.7480
  Batch 2800 | Loss: 0.7456
  Batch 2900 | Loss: 0.7426
  Batch 3000 | Loss: 0.7417
  Batch 3100 | Loss: 0.7409
  Batch 3200 | Loss: 0.7399
  Batch 3300 | Loss: 0.7373
  Batch 3400 | Loss: 0.7362
  Batch 3500 | Loss: 0.7345
  Batch 3600 | Loss: 0.7321
  Batch 3700 | Loss: 0.7285
  Batch 3800 | Loss: 0.7272
  Batch 3900 | Loss: 0.7250
  Batch 4000 | Loss: 0.7233
  Batch 4100 | Loss: 0.7219
  Batch 4200 | Loss: 0.7198
  Batch 4300 | Loss: 0.7174
  Batch 4400 | Loss: 0.7157
  Batch 4500 | Loss: 0.7134
  Batch 4600 | Loss: 0.7120
  Batch 4700 | Loss: 0.7099
  Batch 4800 | Loss: 0.7094
  Batch 4900 | Loss: 0.7082
  Batch 5000 | Loss: 0.7066
  Batch 5100 | Loss: 0.7054
  Batch 5200 | Loss: 0.7040
  Batch 5300 | Loss: 0.7028
  Batch 5400 | Loss: 0.7009
  Batch 5500 | Loss: 0.6991
  Batch 5600 | Loss: 0.6968
  Batch 5700 | Loss: 0.6955
  Batch 5800 | Loss: 0.6939
  Batch 5900 | Loss: 0.6919
  Batch 6000 | Loss: 0.6899
  Batch 6100 | Loss: 0.6888
  Batch 6200 | Loss: 0.6877
  Batch 6300 | Loss: 0.6863
  Batch 6400 | Loss: 0.6846
  Batch 6500 | Loss: 0.6831
  Batch 6600 | Loss: 0.6819
  Batch 6700 | Loss: 0.6810
  Batch 6800 | Loss: 0.6795
  Batch 6900 | Loss: 0.6784
  Batch 7000 | Loss: 0.6777
  Batch 7100 | Loss: 0.6767
  Batch 7200 | Loss: 0.6754
  Batch 7300 | Loss: 0.6737
  Batch 7400 | Loss: 0.6718
  Batch 7500 | Loss: 0.6702
  Batch 7600 | Loss: 0.6695
  Batch 7700 | Loss: 0.6683
  Batch 7800 | Loss: 0.6673
  Batch 7900 | Loss: 0.6659
  Batch 8000 | Loss: 0.6643
  Batch 8100 | Loss: 0.6626
  Batch 8200 | Loss: 0.6615
  Batch 8300 | Loss: 0.6602
  Batch 8400 | Loss: 0.6589
  Batch 8500 | Loss: 0.6574
  Batch 8600 | Loss: 0.6559
  Batch 8700 | Loss: 0.6540
  Batch 8800 | Loss: 0.6522
  Batch 8900 | Loss: 0.6511
  Batch 9000 | Loss: 0.6498
  Batch 9100 | Loss: 0.6490
  Batch 9200 | Loss: 0.6473
  Batch 9300 | Loss: 0.6462
  Batch 9400 | Loss: 0.6447
  Batch 9500 | Loss: 0.6438
  Batch 9600 | Loss: 0.6426
  Batch 9700 | Loss: 0.6417
  Batch 9800 | Loss: 0.6406
  Batch 9900 | Loss: 0.6385
  Batch 10000 | Loss: 0.6367
  Batch 10100 | Loss: 0.6356
  Batch 10200 | Loss: 0.6343
  Batch 10300 | Loss: 0.6331
  Batch 10400 | Loss: 0.6317
  Batch 10500 | Loss: 0.6302
  Batch 10600 | Loss: 0.6283
  Batch 10700 | Loss: 0.6269
  Batch 10800 | Loss: 0.6258
Epoch 3 | train_loss=0.6251 | dev_loss=0.5431
Saved model to transformer_seq2seq.pt
